study_id,intervention,dose,population,n,ldl_change_pct,ldl_change_se_estimated,evidence_quality,source
VOYAGER_ASCVD_atv40,atorvastatin,40mg,ASCVD,778,-45,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_ASCVD_atv80,atorvastatin,80mg,ASCVD,1385,-50,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_ASCVD_rsv20,rosuvastatin,20mg,ASCVD,749,-49,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_ASCVD_rsv40,rosuvastatin,40mg,ASCVD,1824,-54,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_LDL190_atv40,atorvastatin,40mg,LDL_geq_190,534,-49,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_LDL190_atv80,atorvastatin,80mg,LDL_geq_190,507,-53,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_LDL190_rsv20,rosuvastatin,20mg,LDL_geq_190,192,-52,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_LDL190_rsv40,rosuvastatin,40mg,LDL_geq_190,1150,-57,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_DM_atv40,atorvastatin,40mg,diabetes,213,-46,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_DM_atv80,atorvastatin,80mg,diabetes,374,-51,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_DM_rsv20,rosuvastatin,20mg,diabetes,231,-51,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_DM_rsv40,rosuvastatin,40mg,diabetes,450,-57,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_RISK7_atv40,atorvastatin,40mg,10yr_risk_geq_7.5pct,104,-46,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_RISK7_atv80,atorvastatin,80mg,10yr_risk_geq_7.5pct,169,-49,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_RISK7_rsv20,rosuvastatin,20mg,10yr_risk_geq_7.5pct,156,-50,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_RISK7_rsv40,rosuvastatin,40mg,10yr_risk_geq_7.5pct,103,-54,1.5,RCT_meta,Karlson_2015_Fig1
VOYAGER_ALL_atv40,atorvastatin,40mg,all_patients,1147,-47,1.0,RCT_meta,Karlson_2015_Fig1
VOYAGER_ALL_atv80,atorvastatin,80mg,all_patients,1726,-51,1.0,RCT_meta,Karlson_2015_Fig1
VOYAGER_ALL_rsv20,rosuvastatin,20mg,all_patients,1043,-50,1.0,RCT_meta,Karlson_2015_Fig1
VOYAGER_ALL_rsv40,rosuvastatin,40mg,all_patients,2423,-55,1.0,RCT_meta,Karlson_2015_Fig1
ACC2018_T3_atv10,atorvastatin,10mg,general_RCT,NA,-37,3,RCT_estimate,2018_ACC_AHA_Guidelines_Table3
ACC2018_T3_rsv10,rosuvastatin,10mg,general_RCT,NA,-43,3,RCT_estimate,2018_ACC_AHA_Guidelines_Table3
ACC2018_T3_simva40,simvastatin,40mg,general_RCT,NA,-37,3,RCT_estimate,2018_ACC_AHA_Guidelines_Table3
ACC2018_T3_simva20,simvastatin,20mg,general_RCT,NA,-30,3,RCT_estimate,2018_ACC_AHA_Guidelines_Table3
ACC2018_T3_prava40,pravastatin,40mg,general_RCT,NA,-34,3,RCT_estimate,2018_ACC_AHA_Guidelines_Table3
ACC2018_T3_simva10,simvastatin,10mg,general_RCT,NA,-22,3,FDA_labeling,2018_ACC_AHA_Guidelines_Table3
